,ditau_matched_vis_mass,tau_0_decay_mode,tau_1_decay_mode,tau_0_matched_decay_mode,tau_1_matched_decay_mode,NOMINAL_pileup_random_run_number,event_is_bad_batman,tau_0_matched_pdgId,tau_1_matched_pdgId,tau_0_jet_rnn_medium,tau_1_jet_rnn_medium,ditau_dr,ditau_coll_approx_x0,ditau_coll_approx_x1,tau_0_q,tau_1_q,ditau_qxq,tau_0_n_charged_tracks,tau_1_n_charged_tracks,ditau_deta,ditau_CP_phi_star_cp_a1_rho,ditau_CP_phi_star_cp_ip_ip,ditau_CP_phi_star_cp_ip_rho,ditau_CP_phi_star_cp_ip_rho_opt,ditau_CP_phi_star_cp_rho_ip,ditau_CP_phi_star_cp_rho_rho,tauspinner_HCP_Theta_0,tauspinner_HCP_Theta_10,tauspinner_HCP_Theta_20,tauspinner_HCP_Theta_30,tauspinner_HCP_Theta_40,tauspinner_HCP_Theta_50,tauspinner_HCP_Theta_60,tauspinner_HCP_Theta_70,tauspinner_HCP_Theta_80,tauspinner_HCP_Theta_90,tauspinner_HCP_Theta_100,tauspinner_HCP_Theta_110,tauspinner_HCP_Theta_120,tauspinner_HCP_Theta_130,tauspinner_HCP_Theta_140,tauspinner_HCP_Theta_150,tauspinner_HCP_Theta_160,tauspinner_HCP_Theta_170,phi_star,tau_0_p4X,tau_0_p4Y,tau_0_p4Z,tau_0_p4E,tau_0_p4T,tau_0_decay_neutral_p4X,tau_0_decay_neutral_p4Y,tau_0_decay_neutral_p4Z,tau_0_decay_neutral_p4E,tau_0_decay_neutral_p4T,tau_1_p4X,tau_1_p4Y,tau_1_p4Z,tau_1_p4E,tau_1_p4T,tau_1_decay_neutral_p4X,tau_1_decay_neutral_p4Y,tau_1_decay_neutral_p4Z,tau_1_decay_neutral_p4E,tau_1_decay_neutral_p4T,tau_0_decay_charged_p4X,tau_0_decay_charged_p4Y,tau_0_decay_charged_p4Z,tau_0_decay_charged_p4E,tau_0_decay_charged_p4T,tau_1_decay_charged_p4X,tau_1_decay_charged_p4Y,tau_1_decay_charged_p4Z,tau_1_decay_charged_p4E,tau_1_decay_charged_p4T
756,111.07705,0,1,0,1,304409,0,-15,15,1,1,2.0485828,0.5640377,0.6670878,1.0,-1.0,-1.0,1,1,0.01664415,-5.0,3.6390076,2.5393944,2.5393944,-5.0,-5.0,0.43803073468746323,0.42920733017490487,0.5096188713405165,0.6695665395717703,0.8897582855038022,1.1436357348931405,1.4005775205113262,1.6295926709559168,1.8030585791796434,1.9000526965665756,1.9088761010791342,1.8284645599135223,1.6685168916822686,1.4483251457502366,1.1944476963608985,0.9375059107427122,0.7084907602981222,0.5350248520743954,2.5393943786621094,-74.95388849857089,-29.125691261486452,-26.55124795659483,84.6838831216909,80.413875,0.0,0.0,0.0,0.0,0.0,45.655539635931824,-40.24159854337354,-21.164129336350367,64.43395784320525,60.85897265625,15.034377412368197,-13.15824787976747,-6.861145982041181,21.124997875243885,19.9792890625,-74.21328293202043,-28.83790567077227,-26.288899965991376,83.84725343285444,79.6193203125,25.518134360903822,-22.585453030720647,-11.937419084451358,36.108161460378966,34.07752734375
757,94.830795,1,3,1,3,302137,0,15,-15,1,0,1.8021057,0.7870202,0.6172123,-1.0,1.0,-1.0,1,3,0.6041055,3.0779269,2.011194,-5.0,-5.0,4.2654595,-5.0,0.4759515142319035,0.40172705764488414,0.423640924702555,0.539049979623527,0.7340341871280833,0.9850755741307504,1.2618948443827254,1.5311035084743005,1.7602310284192972,1.9216412437503,1.9958657003373195,1.973951833279649,1.8585427783586765,1.6635585708541203,1.4125171838514536,1.1356979135994778,0.8664892495079028,0.6373617295629063,3.0779268741607666,-29.2330036721807,-61.818520042963414,-76.36441496342373,102.50669147283008,68.38199999999999,-27.817610637946522,-58.40735284940578,-72.24881553643658,96.98014175333358,64.69341796875,-40.76660410963368,26.058770798065442,-110.72325022370278,120.8329991609842,48.383628906249996,0.0,0.0,0.0,0.0,0.0,-3.3825996421617033,-7.57119601132467,-9.254478378085714,12.426980293637369,8.2924658203125,-40.529720383006385,25.90734393490616,-110.07986617788087,120.13576508153577,48.102481267458565
758,63.675274,1,1,1,1,306310,0,-15,15,1,1,1.4545807,0.43221042,0.5213847,1.0,-1.0,-1.0,1,1,0.07105446,-5.0,1.6667153,0.8129457,5.3159566,5.3159566,4.462206,0.2085690863733054,0.04828774493274077,0.0006880760762617011,0.07151130236425368,0.252215097466886,0.521003916790799,0.8454578618250417,1.1864429983682387,1.502831486548631,1.7564622052948822,1.916743546735447,1.964343215591926,1.893519989303934,1.7128161942013014,1.4440273748773889,1.1195734298431455,0.7785882932999489,0.4621998051195564,4.46220588684082,-11.049803978196799,-45.794322410126945,-186.84318553107877,192.69041001658687,47.10857812500001,-3.236486513093955,-13.56036309586267,-56.12698562593589,57.83264672565744,13.941244285969358,-45.225516710026604,5.3988598057116794,-194.35303586946475,199.61863039448016,45.546625,-8.581186400945771,1.203573107360174,-36.69120797749117,37.70077334378776,8.66518022158439,-8.683647050925513,-35.8409053717811,-145.4327518582986,150.0355991651262,36.87785546875,-38.06221479198151,4.364551889774858,-163.75509650913835,168.17708708552908,38.31163671875
759,92.51457,2,0,2,0,302380,0,-15,15,1,1,1.4785019,0.8545627,0.6481131,1.0,-1.0,-1.0,1,1,1.4282545,-5.0,0.24046327,-5.0,-5.0,1.2471312,-5.0,1.273685836820861,1.0371123579260746,0.8323996029094621,0.6842389512645206,0.6105007641979667,0.6200789553297654,0.7118182534503752,0.8746535452786077,1.0889444914270185,1.3288444411925697,1.5654179200873561,1.7701306751039687,1.91829132674891,1.992029513815464,1.9824513226836658,1.8907120245630558,1.727876732734823,1.513585786586412,1.2471312284469604,54.7858334365784,7.584546329718905,192.347292699343,200.14118490989028,55.308343750000006,31.934394804080164,4.173785701627459,111.2018748677898,115.77199968513345,32.205994140625,47.94958238960367,27.43753314033382,30.753867069741176,63.22800816021028,55.24473437500001,0.0,0.0,0.0,0.0,0.0,21.33799954532583,3.2012401954062364,75.83188485551747,78.8419457136391,21.576796875000003,49.283805653319234,28.20099745410723,31.609610182585502,64.98751182160048,56.78194921874999
760,64.96246,0,1,0,1,303846,0,-15,15,1,1,1.1549566,0.38204336,0.9139532,1.0,-1.0,-1.0,1,1,0.682706,-5.0,0.5081712,6.04536,6.04536,-5.0,-5.0,0.1878989519413129,0.11227061307093322,0.14943586904674228,0.2949120414972958,0.531152557025414,0.8296633229197233,1.1544395352636694,1.4663083896621671,1.7276538995806676,1.9069539394740604,1.9825822783444402,1.9454170223686311,1.7999408499180776,1.5637003343899591,1.2651895684956502,0.9404133561517036,0.6285445017532061,0.36719899183470533,6.045360088348389,-54.36630239116885,71.31798848317892,-21.76518359283744,92.28040709600697,89.676921875,0.0,0.0,0.0,0.0,0.0,9.246748273646011,32.12679933672797,15.274173209235657,36.755053482266796,33.43102734375,7.641833098940445,27.03298086634895,13.143092373223315,31.015137664740063,28.092341796875,-54.025696167215386,70.87117952820468,-21.628824181379393,91.70237428402416,89.11509375,2.3505797939745503,7.684554934333545,3.3628053850744983,8.712379109718654,8.03601953125
761,81.32804,1,0,1,0,302347,0,15,-15,0,1,1.59235,1.0937588,0.5134412,-1.0,1.0,-1.0,1,1,0.6231452,-5.0,6.1080136,-5.0,4.477788,4.477788,-5.0,1.4870780719393675,1.166417940730765,0.8269254678870285,0.509548456008391,0.25256725671325325,0.08697759527518331,0.03275202870673851,0.09643096062020307,0.2703337720258699,0.5334852173360626,0.8541453485446647,1.1936378213884014,1.5110148332670388,1.7679960325621766,1.9335856940002465,1.9878112605686917,1.924132328655227,1.7502295172495599,4.477787971496582,-67.23124247767197,26.22938564274137,-87.6143070080267,113.50897510234125,72.16661718750001,-62.374235236881496,24.703160458088707,-81.40292705953377,105.48576260075541,67.08793750000001,11.0250817755935,40.38034312060637,-104.74232083679092,112.79662367719024,41.85838671875,0.0,0.0,0.0,0.0,0.0,-20.449392590794947,7.609398844613202,-26.53105250449847,34.35108200468013,21.819271484375,10.28840455169309,37.68219723146778,-97.74361699862555,105.25983754581559,39.06148046874999
762,91.174835,1,1,1,1,304211,0,-15,15,1,1,0.88351244,0.79657704,0.6612681,1.0,-1.0,-1.0,1,1,0.5311265,-5.0,0.2806386,2.2062395,2.2062395,3.0360825,4.9933023,1.1868456645751273,1.3338505439469843,1.4211164878457876,1.4381179355291762,1.3828042614918887,1.2618471111657072,1.0898357020173863,0.8875171486082417,0.6792940543832569,0.4902811975515472,0.3432763181796903,0.25601037428088663,0.23900892659749795,0.29432260063478577,0.4152797509609669,0.5872911601092883,0.7896097135184328,0.9978328077434179,4.993302345275879,-32.37836892878582,-131.79014288281934,78.5378494230808,156.79666554989305,135.70925,-26.89692404465297,-108.59944850752045,64.54999539937236,129.16657797146928,111.880671875,-73.62219301911836,-52.98773240983978,1.756828353402191,90.72493337966372,90.70792187500001,-65.4107933595365,-47.4616806850733,1.2521381016188333,80.82554726570663,80.81573498629982,-4.804241524895456,-20.43427986704408,12.345216593142736,24.35291323092094,20.991439453125,-8.267810500213509,-5.5671761961801005,0.5056049450976682,9.981245283741242,9.967454101562499
763,89.97367,1,3,1,3,304337,0,-15,15,0,0,1.3358511,0.79255396,0.59229344,1.0,-1.0,-1.0,1,3,0.2552786,2.9479592,5.498542,-5.0,-5.0,3.1183658,-5.0,1.032429228310142,1.280065452908639,1.505359342666454,1.681137129495102,1.786197418099205,1.807868387148384,1.7435361979458677,1.6009602619514738,1.397337341242838,1.1572273652116736,0.9095911406131765,0.6842972508553616,0.5085194640267139,0.40345917542261056,0.38178820637343147,0.4461203955759479,0.5886963315703416,0.7923192522789777,2.9479591846466064,37.31582644401196,-63.74147208625099,-365.0780087697691,372.4746953206641,73.8609921875,13.835987463526285,-23.143313319974556,-134.38724702514915,137.0656699655865,26.963818359374997,-49.89907668961592,-50.27965307460077,-269.41832154386043,278.57529206892946,70.8375703125,0.0,0.0,0.0,0.0,0.0,21.81981310568076,-37.762560703256895,-214.4499626787257,218.83994426870018,43.61324609375,-52.401059359791375,-52.800709965432326,-282.92714275101827,292.5459433416546,74.38942125653408
764,67.94678,1,2,1,2,307861,0,-15,15,1,1,1.8889998,0.5358082,0.82616216,1.0,-1.0,-1.0,1,1,0.37160403,-5.0,1.9954293,1.6963476,-5.0,1.6640286,4.506567,1.1702522426499695,1.4735559741486237,1.7293570942959333,1.9068022127796727,1.9844888294996643,1.953046791947124,1.8162684738859414,1.590651359107279,1.3034082014074289,0.9891847648625066,0.6858810333638523,0.4300799132165425,0.2526347947328034,0.17494817801281154,0.2063902155653518,0.3431685336265347,0.568785648405197,0.8560288061050476,4.506567001342773,59.11311355478931,-6.373708177281183,23.454460954519213,63.91475642398728,59.455734375,13.347738673143889,-1.523531589101685,5.099692132661381,14.370398590055514,13.434406432348682,-5.719754160670327,32.56177897152369,27.465494521075176,42.980675038161955,33.06032421875,-5.7225502643855615,31.23354368434097,26.546545959375827,41.42257108238611,31.753453868989666,46.32582633989828,-4.9107744514239,18.576747807178386,50.1528955362063,46.5853828125,-1.162667022437324,7.963046895151546,6.515339180377236,10.355241903584345,8.047478515625
765,106.42651,1,1,1,1,310809,0,15,-15,1,1,2.028324,1.0462409,0.62377626,-1.0,1.0,-1.0,1,1,0.4133793,-5.0,3.5760124,5.2484603,4.6571364,4.6571364,0.04792266,1.4155495604823058,1.33475387547208,1.2910085281156634,1.2895898529168075,1.3306689630419102,1.4092911115467877,1.5159733069824195,1.6378481021177482,1.7602155979790421,1.8683164686135298,1.9491121536237557,1.9928575009801723,1.9942761761790282,1.9531970660539255,1.874574917549048,1.7678927221134162,1.6460179269780875,1.5236504311167935,0.047922659665346146,27.114719987330083,-73.49068120461831,-115.06928479933654,139.20139571190003,78.33318750000001,10.539954858447476,-27.86086465759547,-43.910205772901755,53.06074649404005,29.787890625000003,-48.51604110338356,2.9873406920379466,-40.859194957083375,63.49963985170669,48.60792578125,-5.894274793731806,0.46106690149704227,-4.987498613789738,7.736176061432377,5.9122802734375,12.64344726924781,-34.97453546952681,-54.47538259255323,65.9595457727798,37.18971484375,-42.70260640621574,2.5312565174687203,-35.939779040607995,55.87134373465592,42.777562499999995
